,Name,Team,Position,Goals,Assists,Shots,Fouls Won,Minutes Played,Overall_Rating,Normalized_Rating,MAX
1240,Devonte Richards,Central Ark.,Defender,7,5,49,23,1447,42.26976232110519,99.99648051742695,100
3316,Michael Adedokun,Ohio St.,Midfielder,11,11,83,33,1855,42.27550025279037,100.0,100
4373,Sydney Wathuta,Vermont,Forward,1,13,49,19,1745,42.273750434315396,99.99892676103826,100
1441,Emil Jaaskelainen,Akron,Forward,23,7,92,52,1702,42.225962183163126,99.96959938133003,99
854,Chambron Pinho,SMU,Defender,6,6,45,26,1366,41.30231831047293,99.39630400161128,99
3611,Noah De Blasis,Louisville,Defender,0,1,8,69,1260,41.22687652491239,99.34892650743423,99
3451,Nacho Diaz-Caneja,Evansville,Defender,2,1,14,62,1444,41.27099898221276,99.37664570706394,99
2226,Jansen Miller,Indiana,Defender,1,4,14,64,1799,42.25736126852959,99.98887247317471,99
815,Carson Hodgson,Western Mich.,Midfielder,6,6,38,57,1747,42.22375287616274,99.96824275810548,99
3724,Osei Gyamfi,UNCW,Midfielder,2,5,34,56,1457,39.65439925092902,98.34165438826066,98
1415,Elie Kisoka,Kansas City,Forward,11,9,67,29,1684,40.18721401850408,98.68725535812301,98
4803,Zack Harris,CSUN,Midfielder,0,4,30,56,1157,38.20926074264619,97.38098397185983,97
353,Angel Iniguez,San Jose St.,Midfielder,10,7,52,39,1649,36.32498584093701,96.0737811737919,96
3066,Magnus Kjoller,Wofford,Defender,3,3,20,46,1407,36.52205055940303,96.21354732849176,96
190,Alex Harris,Cornell,Forward,19,5,86,20,1464,36.60723214676018,96.27373442840884,96
1057,Cooper Flax,Wake Forest,Midfielder,9,1,63,34,2087,36.74131242357671,96.36819644950698,96
467,Bailey Sparks,SMU,Forward,9,10,49,29,1804,37.07457427734772,96.60153953130543,96
145,Albin Gashi,Virginia,Midfielder,2,2,22,55,1678,36.33619804331344,96.08175309144953,96
2599,Julien Le Bourdoulous,Kansas City,Midfielder,1,11,40,44,1607,35.506287870160925,95.48511660123218,95
1982,Israel Dos Santos Neto,Providence,Midfielder,6,2,50,39,1366,35.02481627227761,95.13272990131854,95
1798,Grant Paskus,NIU,Midfielder,1,3,10,58,1184,34.857350110587284,95.00905731593336,95
737,Caio Cavaletti,Marist,Midfielder,2,2,27,51,1044,35.24382517672199,95.29360171444127,95
1753,Gianluca Del Priore,Niagara,Midfielder,0,4,29,50,1380,35.45220174742957,95.44576369241688,95
140,Alberto Anaya,Bowling Green,Midfielder,3,9,35,47,1653,35.823313668136265,95.71461767939091,95
1628,Florian Deletioglu,Santa Clara,Midfielder,3,0,31,47,1179,33.945423580221366,94.32530259016971,94
1288,Dominic De Almeida,California Baptist,Defender,0,1,2,62,990,33.879323519000245,94.27504989428527,94
2800,Kyle Evans,Marist,Midfielder,1,3,33,45,1384,33.847397324425124,94.25074382731592,94
856,Charles Ahl,Stetson,Midfielder,2,5,31,47,1261,34.309703684703805,94.60055305736167,94
2517,Joseph Picotto,UMBC,Midfielder,4,2,26,50,1416,34.79000633488851,94.95916149598358,94
4703,Will Reilly,Stanford,Midfielder,3,5,21,51,1788,34.05136110500512,94.40564388134555,94
