Team,Conference,MP,GF,GA,ATT,DEF
Old Dominion,Sun Belt,9,14,18,1.4621074145341186,0.9433937056206692
Howard,NEC,10,11,34,0.928416894710003,2.365805358840016
New Hampshire,America East,9,11,6,1.1757911331031288,0.2875878809169669
Saint Peter's,MAAC,9,8,21,0.6887411307005817,1.4077570056393545
Stony Brook,CAA,8,9,24,1.128176450853498,1.7255272855018016
Bucknell,Patriot,10,7,12,0.5506741512348609,0.6498309278520211
Canisius,MAAC,8,9,26,0.8716879935429237,1.960804400711958
NIU,MVC,7,6,20,0.8127555307225615,1.5759302697410724
Jacksonville,ASUN,8,10,13,1.172639582154449,0.9740382063727878
Wofford,SoCon,10,8,8,0.5296923976088418,0.363539081921813
Massachusetts,Atlantic 10,12,25,16,1.7136914149630698,0.7107863073069751
Iona,MAAC,10,18,16,1.394700789668678,0.9653190895812717
Vermont,America East,12,20,12,1.60335154514063,0.4313818213754504
Saint Francis,NEC,10,14,22,1.1816215023581853,1.5308152321905986
Lindenwood,OVC,11,13,16,0.872788609696387,0.881783026738979
Manhattan,MAAC,10,10,14,0.7748337720381545,0.8446542033836126
High Point,Big South,8,14,8,1.6032285415698482,0.6509807579952194
Lafayette,Patriot,10,13,14,1.0226805665790275,0.7581360824940248
Army West Point,Patriot,9,10,14,0.8740859543410492,0.8423734249933609
UAlbany,America East,10,13,18,1.2506142052096914,0.7764872784758109
Holy Cross,Patriot,9,5,13,0.4370429771705246,0.7822038946366922
Drexel,CAA,10,15,16,1.5042352678046638,0.9202812189342943
Northern Ky.,Horizon,9,7,8,0.7041024185198866,0.5376229975677363
USC Upstate,Big South,9,9,32,0.9161305951827704,2.3145982506496687
Omaha,Summit League,7,10,9,1.6835412742565334,0.6066957638010536
Northeastern,CAA,7,5,10,0.7163025084784114,0.8216796597627627
Penn St.,Big Ten,7,6,16,0.7702911256767,1.035630834104959
Fordham,Atlantic 10,11,15,15,1.1216889261576455,0.7269405415639519
Col. of Charleston,CAA,10,23,21,2.306494077300484,1.2078690998512611
VCU,Atlantic 10,8,6,13,0.6169289093867051,0.866270812030376
FGCU,ASUN,9,5,18,0.5211731476241996,1.1988162539972773
Seattle U,WAC,11,19,12,1.3441955262652379,0.5580107787742011
Seton Hall,Big East,9,8,13,0.7715054482751039,0.7035933136725391
North Carolina,ACC,6,13,8,2.2110644778975135,0.6116753288950534
Fla. Atlantic,The American,8,11,11,1.0346155253548972,0.5503589385916541
Evansville,MVC,15,24,27,1.5171436573487813,0.9928360699368757
Loyola Chicago,Atlantic 10,9,7,17,0.6397781282528794,1.0069472686848815
La Salle,Atlantic 10,9,11,10,1.0053656301116676,0.5923219227558126
Purdue Fort Wayne,Horizon,10,7,14,0.6336921766678978,0.8467562211691848
Detroit Mercy,Horizon,11,16,31,1.316762964504723,1.7045092763795278
Syracuse,ACC,8,10,15,1.2756141218639503,0.8601684312586689
Winthrop,Big South,10,8,27,0.7329044761462162,1.7576480465870923
North Florida,ASUN,10,12,21,1.125733998868271,1.2587570666971413
Rider,MAAC,11,13,10,0.9157126396814552,0.5484767554439043
Quinnipiac,MAAC,6,6,10,0.7748337720381545,1.0055407183138245
Binghamton,America East,11,16,19,1.3992886212136408,0.7451140551030507
Southern Ind.,OVC,10,6,29,0.4431080633843196,1.7580549095608393
