Team,Conference,MP,GF,GA,ATT,DEF
VMI,SoCon,9,18,12,1.1517612681821667,0.9231417987173325
George Washington,Atlantic 10,7,7,12,0.5937714757324715,1.5462876802942451
Delaware,CAA,8,23,10,1.7243282759922176,0.9802433532771675
Boston U.,Patriot,10,11,11,0.4399906612094355,0.9387326379845585
Villanova,Big East,9,14,18,0.8571246646937054,1.6294185399582124
LIU,NEC,8,12,8,0.8724304622775216,1.0432967629948267
Robert Morris,Horizon,11,21,7,1.0925488727622927,0.5444694422590032
Le Moyne,NEC,9,18,11,1.1632406163700286,1.275140488104788
St. Thomas (MN),Summit League,9,7,22,0.4308419192210381,2.26617126191035
Louisville,ACC,10,22,16,1.4460367236377516,1.1882598254051415
Ga. Southern,Sun Belt,10,18,15,1.0261237731097286,1.2436287628003309
Siena,MAAC,8,12,5,0.8258311280495664,0.5986711664949037
Boston College,ACC,10,19,12,1.2488498976871492,0.891194869053856
Western Mich.,MVC,13,33,10,1.5621820665260626,0.6304383015630565
St. Bonaventure,Atlantic 10,8,12,14,0.8906572135987073,1.5785020069670421
Milwaukee,Horizon,9,18,9,1.144575009560497,0.8555948378355763
FDU,NEC,10,23,15,1.3377267088255331,1.5649451444922398
NC State,ACC,12,27,12,1.4789011946295185,0.7426623908782134
UMass Lowell,America East,9,11,8,0.6128441352559995,0.7089729014149113
Eastern Ill.,OVC,8,7,22,0.4740970801587059,2.263016180855632
Temple,The American,7,6,6,0.4518271446742532,0.7342933621797295
Niagara,MAAC,7,15,16,1.1797587543565233,2.189425980324219
Sacred Heart,MAAC,8,18,9,1.2387466920743495,1.0776080996908266
Marquette,Big East,9,14,11,0.8571246646937054,0.9957557744189076
Xavier,Big East,10,11,6,0.6061095843191203,0.4888255619874637
UNC Greensboro,SoCon,10,21,5,1.2093493315912753,0.3461781745189997
Oakland,Horizon,11,15,8,0.7803920519730662,0.6222507911531464
Rutgers,Big Ten,9,13,17,0.7964407029996049,1.5764293191465628
Clemson,ACC,15,42,13,1.8404103755389565,0.6436407387611183
Hofstra,CAA,11,21,7,1.1450084994730934,0.49903297985019435
Coastal Carolina,Sun Belt,11,11,24,0.570068762838738,1.8089145640732085
Wake Forest,ACC,14,25,11,1.1737311068488243,0.5835204499757392
Elon,CAA,11,20,13,1.0904842852124697,0.9267755340075038
South Fla.,The American,11,14,14,0.6708948511829821,1.0903143862668712
FIU,The American,6,13,11,1.1421186157043621,1.570571913551088
UAB,AAC,7,8,10,0.4408069704139056,1.547361491183338
Creighton,Big East,11,23,15,1.1521091272181625,1.1109671863351447
Bellarmine,ASUN,8,7,5,0.39011268761008877,0.5881306620860424
Michigan,Big Ten,11,18,15,0.9022614957058462,1.1380639469774652
Lehigh,Patriot,10,12,11,0.479989812228475,0.9387326379845585
West Virginia,Sun Belt,13,26,10,1.140137525677476,0.6377583398976057
Dayton,Atlantic 10,15,41,16,1.6229753670020888,0.9621345566275302
Colgate,Patriot,9,13,10,0.5777655147194607,0.9482147858429884
South Carolina,Sun Belt,11,28,11,1.4510841235895149,0.8290858418668873
Virginia Tech,ACC,10,21,8,1.3803077816542175,0.5941299127025708
Virginia,ACC,13,25,12,1.2640181150679646,0.6855345146568124
Providence,Big East,13,18,11,0.7629351411009906,0.6893693822900129
Mount St. Mary's,MAAC,8,11,13,0.7570118673787692,1.5565450328867496
Duquesne,Atlantic 10,10,17,8,1.0094115087452016,0.7216009174706477
Butler,Big East,10,21,17,1.1571182973365024,1.3850057589644806
Navy,Patriot,10,11,14,0.4399906612094355,1.194750630162165
American,Patriot,9,11,11,0.4888785124549283,1.0430362644272873
UMBC,America East,12,19,13,0.7939117206725447,0.8640607235994232
Georgia St.,Sun Belt,8,12,19,0.8551031442581071,1.9690788744338574
Rhode Island,Atlantic 10,9,12,10,0.7916953009766287,1.0022234964870107
Marshall,Sun Belt,15,34,11,1.292155862434473,0.6079962840357173
Kentucky,Sun Belt,10,15,9,0.8551031442581071,0.7461772576801986
UConn,Big East,10,10,5,0.5510087130173821,0.4073546349895531
California,ACC,8,16,12,1.3145788396706832,1.11399358631732
NJIT,America East,9,17,9,0.9471227544865446,0.7975945140917753
Liberty,OVC,8,23,8,1.5577475490928905,0.8229149748565936
Saint Joseph's,Atlantic 10,9,11,15,0.7257206925619096,1.5033352447305162
Bradley,MVC,8,12,11,0.9231075847654008,1.1269084640439633
Wisconsin,Big Ten,9,25,13,1.5316167365377018,1.2055047734650188
Houston Christian,OVC,10,16,8,0.8669203751473479,0.6583319798852748
Sacramento St.,Big West,7,15,10,1.14253277258016,1.042607207963105
Memphis,The American,10,14,17,0.7379843363012802,1.4563485016564637
Ohio St.,Big Ten,16,32,11,1.1027640503071452,0.5737739066011388
Notre Dame,ACC,11,26,10,1.553593174156262,0.6751476280711031
Saint Mary's (CA),WCC,8,10,14,0.6680150812936635,1.494822382501319
Northwestern,Big Ten,10,17,6,0.9373494427610735,0.5007481366700847
Pittsburgh,ACC,13,25,12,1.2640181150679646,0.6855345146568124
Furman,SoCon,7,12,7,0.987223944156143,0.6923563490379994
UCF,Sun Belt,11,21,10,1.0883130926921363,0.7537144016971703
UIW,OVC,8,9,8,0.6095533887754789,0.8229149748565936
Central Ark.,ASUN,8,12,12,0.6687646073315807,1.4115135890065018
Drake,MVC,8,12,3,0.9231075847654008,0.30733867201198994
ETSU,SoCon,8,13,9,0.9358060303980106,0.7789008926677492
SIUE,OVC,11,21,5,1.0343936294371765,0.3740522612984516
UIC,MVC,9,16,12,1.0940534337960304,1.0927597227092978
SMU,ACC,16,27,17,1.109175895972139,0.7890787903081017
UCLA,Big Ten,13,17,14,0.7210380328931335,0.8987787068437417
Grand Canyon,WAC,9,9,8,0.46588096241076404,0.8261024236212032
CSUN,Big West,8,6,7,0.399886470403056,0.6385969148774018
UC San Diego,Big West,10,14,11,0.7464547447523712,0.8028075501315909
San Diego,WCC,12,22,12,0.9797554525640396,0.8541842185721823
UC Santa Barbara,Big West,12,25,13,1.1107957511196,0.7906437993720212
Pacific,WCC,7,8,9,0.6107566457542066,1.0982368524499488
Gonzaga,WCC,11,23,16,1.1174070450730371,1.2424497724686288
Stanford,ACC,13,24,13,1.2134573904652461,0.7426623908782134
Oregon St.,WCC,10,26,13,1.3894713690908203,1.110439484143837
CSU Bakersfield,Big West,7,14,5,1.066363921074816,0.5213036039815525
San Francisco,WCC,8,12,4,0.8016180975523962,0.42709210928609115
UNLV,WAC,8,11,10,0.6405863233148006,1.161706533217317
UNC Asheville,Big South,5,11,6,1.2313778049241897,1.482120074078586
Monmouth,CAA,9,15,5,0.9996105947780972,0.43566371256763003
Bowling Green,MVC,10,28,11,1.723134158228748,0.9015267712351707
Charlotte,The American,8,15,3,0.9883718789749291,0.32125334595363164
Campbell,CAA,10,15,8,0.8996495353002875,0.6273557460973872
Saint Louis,Atlantic 10,10,21,7,1.2469200990381903,0.6314008027868167
San Diego St.,WAC,9,18,11,0.9317619248215281,1.1358908324791546
Portland,WCC,11,25,14,1.2145728750793883,1.0871435509100502
Presbyterian,Big South,7,12,11,0.9595151726681997,1.9408715255791011
Stonehill,NEC,8,15,14,1.090538077846902,1.8257693352409465
Binghamton,America East,8,7,9,0.4387406877400905,0.8972938283532471
Lindenwood,OVC,9,23,8,1.3846644880825694,0.7314799776503054
NIU,MVC,9,14,23,0.9572967545715267,2.09445613519282
UAlbany,America East,8,8,21,0.5014179288458177,2.09368559949091
UC Davis,Big West,9,13,8,0.7701517207762559,0.6487333738437098
Cleveland St.,Horizon,9,17,13,1.0809875090293584,1.2358592102069434
Penn St.,Big Ten,9,15,17,0.9189700419226211,1.5764293191465628
